class,iou
aeroplane,0.381872296333313
bicycle,0.15584209561347961
bird,0.2843894362449646
boat,0.2848675847053528
bottle,0.19525963068008423
bus,0.5338271856307983
car,0.4373913109302521
cat,0.5398443341255188
chair,0.026650074869394302
cow,0.4932640790939331
dining table,0.19723787903785706
dog,0.4785566031932831
horse,0.5663736462593079
motorbike,0.1988430619239807
person,0.005700570531189442
potted plant,0.1149154007434845
sheep,0.4470423460006714
sofa,0.1046333983540535
train,0.3677067160606384
tv monitor,0.1912628412246704
